English,Hindi
shad0,shad0
embedded,अंतर्निहित
chateau,महल
harlan,हरलान
provoked,उकसाया
antony,एंटोनी
guido,गुइडो
nile,नील
alfie,अल्फी
cages,पिंजरों
skates,पटरियां
resemble,समान होना
sticker,कँटिया
lennox,लेनोक्स
unstoppable,रुक
veal,वील
fe,फ़े
isle,टापू
characteristics,विशेषताएँ
earthquakes,भूकंप
cold-blooded,ठंडे खून वाले
ambushed,घात लगाकर हमला किया
zap,गाली मार देना
reaper,काटनेवाला
deployed,तैनात
biblical,बाइबिल
puck,पक
mystic,रहस्यवादी
aya,अया
gaby,भोला
intends,का इरादा रखता है
muffins,मफिन
speedy,तीव्र
course,अवधि
republicans,रिपब्लिकन
bolts,बोल्ट
enrique,एनरिक
hoax,छल
raided,छापा मारा
intersection,चौराहा
presently,इस समय
supplier,देने वाला
shuffle,मिश्रण
edited,संपादित
rubbed,मला
vegan,शाकाहारी
outdoors,सड़क पर
distinctive,विशेष
upcoming,आगामी
brighton,ब्राइटन
wagons,वैगनों
granger,गोशाला का अधिकार
peeing,पेशाब करना
oracle,आकाशवाणी
glitter,चमक
amulet,ताबीज
suspend,निलंबित
guild,गिल्ड
convertible,परिवर्तनीय
squared,Squared
battling,जूझ
steward,प्रबंधक
weston,वेस्टन
gateway,द्वार
rites,संस्कार
distributed,वितरित
pavement,फुटपाथ
projector,प्रक्षेपक
rugby,रग्बी
jt,संयुक्त
fragment,टुकड़ा
baldwin,बाल्डविन
obscene,अश्लील बना
zebra,ज़ेबरा
raping,बलात्कार
analyst,विश्लेषक
eta,ईटा
elbows,कोहनी
detonator,बारूद भरा हुआ पटाखा
disneyland,डिज्नीलैंड
rails,रेल
earthly,सांसारिक
modesty,नम्रता
assess,आकलन
vinci,विंची
librarian,लाइब्रेरियन
do-,करना-
moran,मोरन
suffice,पर्याप्त
gravitational,गुरुत्वीय
crowley,क्राउले
slumber,नींद
homie,homie
bribes,रिश्वत
aces,इक्के
sodium,सोडियम
hubert,ह्यूबर्ट
trajectory,प्रक्षेपवक्र
credible,विश्वसनीय
declined,अस्वीकृत
canary,पीतचटकी
eyesight,नज़र
jug,सुराही
duplicate,डुप्लिकेट
developments,घटनाक्रम
capitalism,पूंजीवाद
polished,पॉलिश
defenses,गढ़
xi,क्सी
crates,क्रेट
fences,बाड़
differ,अलग होना
hodgins,हॉजिंस
enzo,एंज़ो
chaotic,अराजक
gardening,बागवानी
gram,ग्राम
tinker,टिन से मढ़नेवाला
forecast,पूर्वानुमान
ti,ती
pinched,चुटकी बजाई
tangled,टैंगल्ड
macy,मैसी
plunge,डुबकी
bulletproof,बुलेटप्रूफ
module,मॉड्यूल
firewood,जलाऊ लकड़ी
pizzas,पिज़ा
overly,अति
retail,खुदरा
novak,नोवाक
grover,ग्रोवर
arturo,आर्टुरो
appalling,भय उत्पन्न करनेवाला
rows,पंक्तियों
felicia,फ़ेलिशिया
concentrating,ध्यान केंद्रित
transferring,स्थानांतरित
mash,मुहब्बत
growl,बादल की गरज
sliced,कटा हुआ
rewards,पुरस्कार
braces,ब्रेसिज़
livestock,पशु
users,उपयोगकर्ताओं
recruiting,भर्ती
gunman,डकैत
dictate,हुक्म
bathrooms,बाथरूम
nobles,रईसों
picky,नकचढ़े
linus,लीनुस
platter,थाली
vultures,गिद्धों
organism,जीव
sweeter,मीठा
scarecrow,बिजूका
manufacturing,उत्पादन
pup,पिल्ला
mitzvah,मिट्ज्वा
crackles,चटक को निरीक्षण
proudly,गर्व से
interpreter,दुभाषिया
leigh,लेह
genetically,आनुवंशिक रूप से
frying,ख़त्म
redeem,भुनाना
cara,कारा
ledge,हद
qing,किंग
tyranny,अत्याचार
charleston,चार्ल्सटन
cutest,सबसे प्यारे
skins,खाल
rosy,गुलाबी
nomination,नामांकन
textbook,पाठयपुस्तक
descendants,वंशज
sabine,सबीन
saunders,सॉन्डर्स
hast,ने
dubois,डुबोइस
finland,फिनलैंड
loretta,Loretta
unsolved,न सुलझा हुआ
pioneer,प्रथम अन्वेषक
or-,या-
ramirez,रामिरेज़
suzie,सूजी
hugged,गले लगाया
angelica,एंजेलिका
cesare,Cesare
throttle,गला घोंटना
powered,संचालित
carving,पर नक्काशी
thrive,फलना-फूलना
d.j.,डी.जे.
allergy,एलर्जी
icu,आईसीयू
suzy,सूजी
pong,पांग
squares,चौकों
alphabet,वर्णमाला
threesome,त्रिगुट
accordingly,इसलिए
sect,संप्रदाय
maternity,मातृत्व
scarce,अपर्याप्त
internship,प्रशिक्षण
morty,Morty
tones,टन
sirs,महोदय
unwell,अस्वस्थ
nellie,नेली
import,आयात
temporal,लौकिक
mohammed,मुहम्मद
anticipate,अंदाज़ा लगाना
democrats,डेमोक्रेट
pfft,pfft
terminated,समाप्त
spree,आनंद का उत्सव
ami,अमी
interviewer,साक्षात्कारकर्ता
respectfully,सम्मान से
futile,व्यर्थ
dictator,तानाशाह
stuffy,उबाऊ
wai,वाई
mammals,स्तनधारियों
fasten,जकड़ना
neptune,नेपच्यून
giggle,खिसियाना
grandchild,पोता
pharmaceutical,दवा
persian,फ़ारसी
tactic,रणनीति
itching,खुजली
observer,पर्यवेक्षक
tesla,टेस्ला
wallpaper,वॉलपेपर
thorne,थोरने
jiang,जियांग
austrian,ऑस्ट्रिया
output,आउटपुट
malley,मैली
goliath,Goliath
trophies,ट्राफियां
joyful,हर्षित
spouse,जीवनसाथी
giorgio,जियोर्जियो
rightly,ठीक
hobbies,शौक
there,वहाँ
vito,वीटो
naming,नामकरण
yates,येट्स
stale,बासी
teamwork,टीम वर्क
obedient,आज्ञाकारी
switches,स्विच
rating,रेटिंग
regulation,विनियमन
raving,दीवाना
dioxide,डाइऑक्साइड
boner,चोट
bc,ईसा पूर्व
implant,प्रत्यारोपण
mari,मारी
satisfactory,संतोषजनक
espresso,एस्प्रेसो
bach,बाख
sleeper,स्लीपर
construct,CONSTRUCT
rations,राशन
munch,काटना
anjali,अंजलि
coordinate,कोआर्डिनेट
stag,बारहसिंगा
dominique,डोमिनिक
backseat,गौण
chrissy,क्रिसी
analyzed,विश्लेषण
reschedule,पुनर्निर्धारित
uphold,कायम रखना
sorority,औरतों का संग्रह
bono,नि:
princeton,प्रिंसटन
inconvenient,असुविधाजनक
crumbs,टुकड़ों
reconstruction,पुनर्निर्माण
pipeline,पाइपलाइन
reunited,फिर से
confidentiality,गोपनीयता
embraced,गले लगा लिया
overruled,खारिज कर
enlightenment,प्रबोधन
puddle,पोखर
mortals,मनुष्यों
comfortably,आराम से
vlad,व्लाद
misha,मिशा
ukraine,यूक्रेन
swam,तैरकर
annette,एनेट
demonic,राक्षसी
sora,सोरा
demise,मृत्यु
donatello,Donatello
fungus,कुकुरमुत्ता
barefoot,नंगे पाँव
tacos,tacos
skeletons,कंकाल
beak,चोंच
fanfare,धूमधाम
maryland,मैरीलैंड
felipe,फेलिप
picard,पिकार्ड
mascot,शुभंकर
lemonis,नींबू
drastic,कठोर
proceeding,कार्यवाही
presidents,राष्ट्रपतियों
intrude,अतिक्रमण
stiles,स्टाइल्स
sums,रकम
deprived,वंचित
advertisement,विज्ञापन
farting,पादना
straightened,सीधा
foremost,सबसे महत्वपूर्ण
adjustment,समायोजन
charade,नाटक
blanks,कारतूस
stig,स्टिग
puncture,पंचर
spank,झापड़
utah,यूटा
booing,हूट
abs,पेट
minimal,न्यूनतम
gals,लड़कियों
flashes,चमक
andrei,आंद्रेई
requirements,आवश्यकताएं
greenhouse,ग्रीन हाउस
marx,मार्क्स
ma,एमए
vermont,वरमोंट
comprehend,समझ
canoe,डोंगी
baton,छड़ी
arsehole,गधे का छेद
graduating,स्नातक
partially,आंशिक रूप से
sensing,संवेदन
kinky,गांठदार
titans,टाइटन्स
microscope,माइक्रोस्कोप
intimidating,डराना
ren,रेन
babu,बाबू
territories,प्रदेशों
vaguely,थोड़ा
geese,कुछ कलहंस
hardship,कष्ट
karin,कैरिन
exceptions,अपवाद
jing,जिंग
gramps,दादाजी
florrick,फ्लोरिक
doubles,दोगुना हो जाता है
knitting,बुनना
slowed,धीमा
administrator,प्रशासक
blacksmith,लोहार
ctu,सीटीयू
tolling,टोलिंग
correspondence,पत्र-व्यवहार
fashionable,फैशनेबल
overlooked,अनदेखी
siobhan,सियोभान
matron,बुढ़िया
arcade,आर्केड
gestures,इशारों
lonnie,लोनी
bord0,बोर्ड0
quits,इस्तीफा
outnumbered,अधिक संख्या
lockhart,लॉकहार्ट
verbal,मौखिक
mc,एम सी
terminate,बर्खास्त
hosts,मेजबान
rye,राई
chirps,चहचहाता है
presidency,प्रेसीडेंसी
roberta,रोबर्टा
devote,समर्पित
30th,30 वीं
dumps,उदासीनता
hallo,अभिनंदन
improvise,सुधारने
monique,मोनिक
pooh,पूह
starship,स्टारशिप
spades,कुक्म के पत्ते
fumes,धुएं
cawing,काँव-काँव करना
aluminum,अल्युमीनियम
squeak,चीख़
drafted,मसौदा तैयार किया
ssh,एसएसएच
everest,एवरेस्ट
michaels,MICHAELS
commonwealth,राष्ट्रमंडल
candace,कैंडेस
cappuccino,कैपुचिनो
cucumber,खीरा
inventor,आविष्कारक
folder,फ़ोल्डर
slamming,बंद
favours,एहसान
peppers,मिर्च
appeals,अपील
walton,वॉल्टन
reasoning,तर्क
adequate,पर्याप्त
snickers,मज़ाक
glued,चिपके
ifs,आईएफएस
nets,जाल
hangar,हैंगर
godmother,धर्म-माता
empty-handed,ख़ाली हाथ
sátur,शनि
forum,मंच
joys,खुशियों
foolishness,बेवकूफी
sybil,पेशीनगोई करनेवाली
crest,क्रेस्ट
playful,चंचल
peers,समकक्ष लोग
horrors,भयावहता
grown-ups,वयस्क
bleach,विरंजित करना
disastrous,विनाशकारी
lineup,पंक्ति बनायें
glamour,ठाठ बाट
coronation,राज तिलक
halo,प्रभामंडल
sookie,सूकी
highlight,प्रमुखता से दिखाना
ziva,जिवा
ponies,टट्टू
errors,त्रुटियाँ
viv,विव
alvarez,अल्वारेज़
pluto,प्लूटो
weights,तौल
arabia,अरब
imperative,अनिवार्य
trader,व्यापारी
galileo,गैलीलियो
tainted,दूषित
drugstore,दवा की दुकान
lenses,लेंस
obstruction,बाधा
segment,खंड
envious,ईर्ष्या
gertrude,गर्ट्रूड
twisting,घुमा
nikolai,निकोलाई
insured,बीमा
overlook,ओवरलुक
icon,आइकन
rollin,रोलिंग
commentator,टीकाकार
pitt,पिट
camilla,कैमिला
cerebral,सेरिब्रल
qin,किन
zelda,ज़ेल्डा
spoiling,खराब
tsar,ज़ार
frames,फ़्रेम
cushion,तकिया
divers,गोताखोरों
hallowed,पवित्र
chute,ढलान
cavity,गुहा
reds,रेड
volcanoes,ज्वालामुखी
on.,पर।
angelina,एंजेलीना
sahib,साहब
strung,सख़्त
watts,वाट
40s,40
monopoly,एकाधिकार
bros,ब्रदर्स
immigrant,आप्रवासी
back-up,द बैक-अप
apache,अपाचे
caffeine,कैफीन
squeezing,निचोड़
postponed,स्थगित
encounters,मुठभेड़ों
stuttering,हकलाना
rut,लीक
calmed,शांत
opener,ओपनर
baek,बाएक
impotent,नपुंसक
tabs,टैब
franchise,मताधिकार
entity,इकाई
slimy,घिनौना
hygiene,स्वच्छता
andi,और
containment,रोकथाम
knickers,छोटी बात
jumpy,चिड़चिड़ा
pistols,पिस्तौल
irregular,अनियमित
lowly,नीच
controller,नियंत्रक
rung,छड़
hades,हैडिस
anarchy,अराजकता
wisely,बुद्धिमानी से
blackmailed,ब्लैकमेल
dudley,डुडले
dramatically,नाटकीय रूप से
researching,शोध
borg,बोर्ग
touchy,चिड़चिड़ा
fay,तलछट
seventy,सत्तर
m.o.,एम.ओ.
bullies,बदमाशों
stealth,चुपके से
divya,दिव्या
divisions,डिवीजनों
yearbook,सालाना
abdul,अब्दुल
poll,मतदान
blinds,अंधा
sneezes,छींक
bigfoot,बड़ा पैर
ninety,नब्बे
dharma,धर्म
cramp,ऐंठन
cockpit,कॉकपिट
truthful,सच्चा
lilith,लिलिथ
ghastly,भयंकर
hangin,धीरज रखो
edwin,एडविन
c.j.,सी.जे.
whines,कराहना
corrections,सुधार
missionary,मिशनरी
infinity,अनंत
cola,कोला
penance,तपस्या
moist,नम
sham,दिखावा
investor,इन्वेस्टर
founding,संस्थापक
krystle,क्रिस्टल
caldwell,काल्डवेल
orientation,अभिविन्यास
captains,कप्तान
flop,फ्लॉप
columbo,कोलंबो
jamming,ठेला
yoo-hoo,Yoo-हू
crossroads,चौराहा
p.d.,पी.डी.
infrared,अवरक्त
pleading,प्रार्थना का
sven,स्वेन
carroll,कैरोल
flushed,प्लावित
magda,मैग्डा
gaming,गेमिंग
gurgling,गड़गड़ाहट
vinny,विन्नी
prairie,मैदानी
component,अवयव
saudi,सउदी
slapping,थप्पड़ मारना
gases,गैसों
aching,दर्द
lau,लाउ
abusive,अपमानजनक
vermin,दरिंदा
bracelets,कंगन
tyre,थका देना
rift,दरार
wiring,तारों
gauge,गेज
robby,रॉबी
lifelong,जिंदगी भर
abstract,अमूर्त
pilgrimage,तीर्थ यात्रा
theoretically,सैद्धांतिक रूप से
mythology,पौराणिक कथा
johnnie,जॉनी
photographers,फोटोग्राफर
wilma,विल्मा
render,प्रदान करना
rocked,हिल
iq,आईक्यू
licked,पाला
android,android
rhythmic,तालबद्ध
pianist,पियानोवादक
clover,तिपतिया घास
unwanted,अवांछित
salvador,सल्वाडोर
troupe,ट्रुप
feat,करतब
primarily,प्रमुख रूप से
preposterous,निरर्थक
drying,सुखाने
unseen,अगोचर
raoul,Raoul
vulture,गिद्ध
constantine,Constantine
outlet,दुकान
git,गिट
pictured,कल्पना
functional,कार्यात्मक
24th,24 वें
nitrogen,नाइट्रोजन
cc,प्रतिलिपि
lest,ऐसा न हो कि
right-hand,दांया हाथ
speechless,अवाक
delusions,भ्रम
peeping,उझकनेवाला
follow-up,पालन ​​करें
refrain,रोकना
jerking,मरोड़ते
engaging,उलझाने
accountable,उत्तरदायी
piles,धन
ch,चौधरी
intro,परिचय
rescuing,बचाव
orgy,नंगा नाच
zane,ज़ेन
jaguar,जगुआर
prue,prue
she,वह
concerts,संगीत कार्यक्रम
schemes,योजनाओं
abusing,कोस
fatigue,थकान
taj,ताज
charitable,दान देने की
lili,लिली
attracts,आकर्षित
stirred,हड़कंप मच गया
invaders,आक्रमणकारियों
wench,लड़की
kittens,बिल्ली के बच्चे
riggs,रिग्स
gras,ग्रास
heartbroken,टूटा हुआ दिल
suffocating,घुटना-संबंधी
youse,आप
underage,अवयस्क
amar,अमर
bugged,गड़बड़
dimitri,दिमित्री
m--i,म--मैं
klinger,क्लिंगर
metropolitan,महानगर
unions,यूनियन
worf,वर्फ
cds,सीडी
hamster,हम्सटर
omelet,आमलेट
humility,विनम्रता
grad,ग्रैड
obedience,आज्ञाकारिता
grub,भोजन
victorian,विक्टोरियन
lassie,लैसी
posed,उत्पन्न
conway,कोनवे
resentment,क्रोध
didi,दीदी
locke,लोके
dat,डैट
booming,फलफूल
aunts,चाची
shay,एक प्रकार की गाड़ी
brigadier,ब्रिगेडियर
intrusion,अतिक्रमण
hedgehog,हाथी
recipes,व्यंजनों
tacky,चिपचिपा
or,या
here.,यहाँ।
hk,एच
saviour,मुक्तिदाता
physicist,भौतिक विज्ञानी
yonder,उधर
admiring,निहार
anyplace,कोई भी जगह
forfeit,अर्थदंड
lullaby,लाला लल्ला लोरी
oasis,ओएसिस
unleash,दिलाने
avengers,बदला लेने वाले
indifferent,उदासीन
boxers,मुक्केबाजों
truthfully,सच्चाई से
organise,आयोजन
actresses,अभिनेत्रियों
grin,मुसकान
arranging,की व्यवस्था
voila,देखा
hydra,हीड्रा
shutters,शटर
pearson,पियर्सन
genesis,उत्पत्ति
daria,दारिया
energetic,शक्तिशाली
postal,डाक
henrik,हेनरिक
aloud,जोर
hmph,हम्म
archive,पुरालेख
nauseous,वमनजनक
funniest,मजेदार
muse,सरस्वती
ernst,अर्नस्ट
constitutional,संवैधानिक
recital,वादन
covenant,नियम
cloudy,बादलों से घिरा
prestige,प्रतिष्ठा
olivier,ओलिवर
pencils,पेंसिल
gunnar,गुन्नार
helper,सहायक
decks,डेक्स
astray,गुमराह
leland,लेलैंड
that-that,यही यही
ip,आई पी
casing,आवरण
cooing,सहलाना
ozzy,ओजी
sterile,बाँझ
bagel,BAGEL
releases,विज्ञप्ति
recognizes,पहचानता
lorelai,लोरलाई
intimidate,धमकाना
forgery,जालसाजी
kenya,केन्या
bred,नस्ल
dunn,डन
vector,वेक्टर
huck,हक़
nausea,जी मिचलाना
sakura,सकुरा
detonate,विस्फोट
lenin,लेनिन
inhuman,अमानवीय
horsepower,घोड़े की शक्ति
violating,उल्लंघन करने
pascal,पास्कल
informer,मुखबिर
hooting,हूटिंग
plugged,खामियों को दूर
oriental,ओरिएंटल
about-,के बारे में-
pretends,दिखावा
tram,ट्राम
reyes,रेयेस
spoils,लूट
chaplain,पादरी
farce,स्वांग
parasites,परजीवी
whipping,सजा
cruising,मंडरा
violently,बलपूर्वक
tile,टाइल
ashtray,राखदानी
und,-und
neighing,हिनहिनाना
zones,क्षेत्र
donut,डोनट
spoilt,खराब
nobility,कुलीनता
decoration,सजावट
sharpe,शार्प
scoot,दौड़ना
kelso,केल्सो
abdominal,पेट
updated,अद्यतन
blueprints,ब्लूप्रिंट
dealings,लेन-देन
pitched,पिच
resource,संसाधन
coalition,गठबंधन
hoss,hoss
professors,प्रोफेसर
espionage,जासूसी
dishwasher,डिशवॉशर
minded,दिमाग
cheyenne,Cheyenne
resulted,परिणामस्वरूप
brewster,Brewster
wrestler,पहलवान
cons,दोष
protesting,नारेबाजी
barbarians,बर्बर
loony,दीवाना
kangaroo,कंगेरू
rite,संस्कार
dialect,बोली
counsellor,काउंसलर
tsunami,सुनामी
locket,लाकेट
sorcerer,जादूगर
pilgrims,तीर्थयात्रियों
incorrect,गलत
parameters,पैरामीटर
risotto,रिसोट्टो
unreliable,अविश्वसनीय
geniuses,प्रतिभाशाले
agricultural,कृषि
willard,विलार्ड
marital,वैवाहिक
wilkes,विल्क्स
scramble,संघर्ष
hera,हेरा
swears,कसम खाते
starvation,भुखमरी
my,मेरा
summons,सम्मन
aquarium,मछलीघर
flavors,जायके
sanity,मानसिक स्वास्थ्य
roxanne,रौक्सैन
caste,जाति
wedge,कील
bedside,बेडसाइड
experimenting,तो प्रयोग
truths,सत्य
tribunal,अधिकरण
emerson,एमर्सन
darlene,डार्लिन
automated,स्वचालित
treachery,द्रऋह
explorer,एक्सप्लोरर
greens,साग
dunk,डुबाना
amused,खुश
fishes,मछलियों
kappa,रूई
oleg,ओलेग
goblin,भूत
appreciates,की सराहना करता है
lark,लवा
commissioned,कमीशन
reassuring,आश्वस्त
disclose,खुलासा
seaside,समुंदर के किनारे का
politely,शिष्टतापूर्वक
preoccupied,बेचैन
incense,धूप
folly,FOLLY
pear,नाशपाती
vikings,वाइकिंग्स
irs,आईआर
lavender,लैवेंडर
graceful,सुंदर
stretcher,स्ट्रेचर
grande,GRANDE
simulation,सिमुलेशन
lasers,पराबैंगनीकिरण
groovy,ग्रूवी
discussions,विचार विमर्श
basin,बेसिन
sacrificing,त्याग
luncheon,लंच
disobey,अवज्ञा
snot,गुस्ताख़
mil,एमआईएल
sinful,पापी
yearning,तड़प
gruesome,भीषण
aide,सहयोगी
i`m,मैं `
shen,शेन
haha,हाहा
masculine,मदार्ना
mortimer,मोर्टिमर
extras,अतिरिक्त
hopper,हॉपर
guides,गाइड
banjo,बैंजो
dina,दिना
camelot,Camelot
blazing,प्रज्वलन
dos,क्या करें?
crowned,ताज पहनाया
gonzalo,गोंज़ालो
painkillers,दर्दनाशक
rave,पागल होना
foley,फोले
silvia,सिल्विया
sylvie,सिल्वी
cover-up,कवर अप
cassette,कैसेट
sorting,छँटाई
misplaced,गलत
sprung,उछला
vs.,बनाम
practising,अभ्यास
prehistoric,प्रागैतिहासिक
howls,घोर विरोध
enterprises,उद्यम
designing,डिजाइनिंग
suspense,कौतुहल
patti,पट्टी
japs,japs
renounce,छोड़ना
paints,पेंट
relying,भरोसा
w.,डब्ल्यू
n-no,एन-नहीं
rendered,प्रतिपादन किया
herald,सूचना देना
randomly,बेतरतीब
stylish,स्टाइलिश
spleen,तिल्ली
mugged,गड़बड़
investing,निवेश
protestant,कट्टर
circumstantial,संयोग का
smear,धब्बा
pantry,कोठार
guiding,गाइडिंग
flavour,स्वाद
hollis,होलिस
cursing,अपशब्द
erection,निर्माण
gravel,कंकड़
artifact,विरूपण साक्ष्य
raccoon,एक प्रकार का जानवर
0h,0 घंटे
classics,कुंआरियां
enlighten,सूचित करना
enhance,बढ़ाना
delivers,उद्धार
spinach,पालक
binding,बंधन
goldman,गोल्डमैन
invalid,अमान्य
touring,पर्यटन
johns,जॉन्स
fashioned,जमाने
gilmore,गिलमोर
spilling,फैलने
ledger,खाता बही
quieter,शांत
meadows,घास के मैदान
majestic,आलीशान
frequencies,आवृत्तियों
zhou,झोउ
historian,इतिहासकार
containers,कंटेनरों
marisa,मारिसा
diplomat,राजनयिक
wrinkles,झुर्रियाँ
aryan,आर्य
subtitling,उपशीर्षक
para,पैरा
nationals,नागरिकों
natalia,नतालिया
rudolph,रूडोल्फ
palestine,फिलिस्तीन
insulin,इंसुलिन
torpedoes,तारपीडो
pagan,बुतपरस्त
swimmer,तैराक
disgraced,बदनाम
bygones,पुराने बात
intellect,बुद्धि
accommodate,समायोजित करना
posture,आसन
adjusting,का समायोजन
giraffe,जिराफ़
peer,समकक्ष
petersburg,पीटर्सबर्ग
religions,धर्मों
hammering,टंकण
audiences,ऑडियंस
ruben,RUBEN
gigs,गिग्स
damaging,हानिकारक
colossal,विशाल
renew,नवीकरण
iceberg,हिमखंड
vigilante,सजग
emile,एमिल
dougie,डग
biggie,बिगगी
pietro,पिएत्रो
chewed,चबाया
cellular,सेलुलर
indecent,अभद्र
dangerously,खतरनाक
duane,डुआन
bribed,घूसख़ोर
rascals,दुष्टों
chai,चाय
ramona,रमोना
grammar,व्याकरण
thrash,पिटाई
hutch,हच
runners,धावकों
pager,पेजर
stumble,ठोकर
dispatcher,डिस्पैचर
thankyou,धन्यवाद
iast,आईएएसटी
stump,स्टंप
wraps,wraps
gator,गेटोर
teammates,टीम के साथी
skye,स्काई
weakest,सबसे कमजोर
disconnect,डिस्कनेक्ट
melts,पिघलने
morally,नैतिक रूप से
feud,झगड़ा
apiece,एक रचना
theatrical,थियेट्रिकल
distinguish,अंतर करना
cooperating,सहयोग
passions,जुनून
strive,कोशिश करना
flourish,फलना-फूलना
reeves,रीव्स
unnecessarily,अनावश्यक रूप से
janie,जेनी
perceive,समझना
upstate,अपस्टेट
accuracy,शुद्धता
cosmo,कॉस्मो
bitterness,अप्रसन्नता
fundraiser,अनुदान संचय
reflects,दर्शाता
insolent,ढीठ
strauss,स्ट्रास
circular,परिपत्र
generated,आप जेनरेट हुई
rumble,गड़गड़ाहट
pilgrim,तीर्थ
squirrels,गिलहरी
purge,शुद्ध
xander,ज़ेंडर
mingle,मिल जाना
manufacture,उत्पादन
firemen,फायरमैन
casually,संयोग से
handler,हैंडलर
hobbs,हॉब्स
slain,मारे गए
phd,पीएचडी
multiply,गुणा
confinement,कारावास
patches,पैच
divert,डाइवर्ट
alfonso,अलफोंसो
protests,विरोध प्रदर्शन
versions,संस्करणों
ambrose,एम्ब्रोस
adriana,एड्रियाना
ia,आइए
mit,एमआईटी
youthful,युवा
numbered,क्रमांकित
mustafa,मुस्तफा
herbal,हर्बल
kathryn,कॅथ्रीन
gunther,गुंथर
lawful,क़ानूनी
stacked,खड़ी
damian,डेमियन
reasonably,यथोचित
suzuki,सुज़ुकी
myra,मायरा
logged,लॉग इन
prospects,संभावनाएं
mainstream,मुख्य धारा
sykes,साइक्स
alimony,निर्वाह निधि
stating,उन्होंने कहा
budapest,बुडापेस्ट
nelly,नेल्ली
awakened,जागा
curses,शाप
ore,अयस्क
slices,स्लाइस
curl,कर्ल
uprising,विद्रोह
cabaret,काबरे
manufacturer,उत्पादक
ration,राशन
boulder,बोल्डर
manpower,जनशक्ति
badges,बैज
mush,गूदा
recycling,पुनर्चक्रण
disarm,वश में कर लेना
elusive,मायावी
snarls,जाम
chiu,चिऊ
flawless,बेदाग
considers,पर विचार
youre,आप
harmful,हानिकारक
horseback,घोड़े की पीठ
m.e.,मुझे।
owens,ओवेन्स
admits,मानते हैं
morales,मोरालेस
helene,हेलेन
thankfully,शुक्र है
recreate,बहलाना
travelers,यात्री
navigate,नेविगेट
pun,पुन
ethnic,जातीय
voice-over,पार्श्व स्वर
kono,कोनो
esteemed,सम्मानित
exterior,बाहरी
duffy,डफी
triad,तीनों
licensed,लाइसेंस
gems,जवाहरात
moira,मोइरा
mutants,उत्परिवर्ती
testifying,गवाही
dissolve,भंग करना
iraqi,इराक
robes,वस्त्र
wildest,सोची
portfolio,पोर्टफोलियो
tossing,पटकना
pussycat,बिल्ली का बच्चा
booby,मूर्ख
nbc,एनबीसी
simms,सिम्स
knack,आदत
lodged,दर्ज कराई
cpr,सी.पी.आर
lei,लेई
racism,जातिवाद
nato,नाटो
mayo,मेयो
gillian,गिलियन
stingy,कंजूस
kaiser,कैसर
shooters,निशानेबाजों
napkins,नैपकिन
continents,महाद्वीप
registry,रजिस्ट्री
fags,थके हुए
shah,शाह
blinking,पलक झपकाना
capt.,कैप्टन
duo,जोड़ी
gymnastics,कसरत
jag,कंगूरा
bernadette,बर्नाडेट
valiant,बहादुर
exploited,शोषित
attachment,लगाव
for,के लिए
trans,ट्रांस
intruders,घुसपैठिए
owning,मालिक
mega,मेगा
crispy,खस्ता
administrative,प्रशासनिक
hawks,हाक
crave,तरसना
qu,क्व
reviewed,की समीक्षा
persuasive,प्रेरक
turmoil,उथल-पुथल
promoting,को बढ़ावा
shoving,धकेल
bette,बेट्टे
unworthy,नालायक कहीं का
elevators,लिफ्ट
fulfilling,को पूरा करने
ronny,रोनी
rooting,पक्ष
irma,आईआरएमए
mcqueen,मैक्वीन
s.h.i.e.l.d.,कवच।
stoop,गिर
ee,ईई
a.j.,ए.जे.
greer,ग्रीर
panicking,डर
panels,पैनलों
demonstrated,प्रदर्शन किया
myths,मिथक
mattie,मैटी
volleyball,वालीबाल
cheats,Cheats
chord,तार
berkeley,बर्कले
oblige,उपकृत
radiant,दीप्तिमान
anticipation,प्रत्याशा
fibers,फाइबर
daleks,डेल्क्स
aroused,जगाया
paralysis,पक्षाघात
ferocious,क्रूर
heinous,जघन्य
roulette,रूले
emergencies,आपात स्थिति
olaf,ओलाफ
enjoyable,सुखद
torso,धड़
compassionate,करुणामय
softer,नरम
delegation,प्रतिनिधि मंडल
can`t,नहीं कर सकते
fangs,नुकीले दांत
plaque,पट्टिका
alonso,अलोंसो
moi,moi
o.j.,ओ.जे.
bowman,निशानेबाज़
uterus,गर्भाशय
buggy,छोटी गाड़ी
kristina,क्रिस्टीना
denies,खंडन
tally,गणना
neighs,हिनहिनाता है
unusually,असामान्य रूप से
tibet,तिब्बत
fez,फेज
charcoal,लकड़ी का कोयला
healer,आरोग्य करनेवाला
weirdest,अजीब
eel,बाम मछली
recordings,रिकॉर्डिंग
tamil,तमिल
naw,गा
camouflage,छलावरण
seagulls,सीगल
hub,केंद्र
shoulda,चाहिये
mailman,पत्रवाहक
buckley,बकले
furry,पोस्तीन का
pronto,तेज़ी से
sedan,पालकी
kermit,कर्मिट
amir,अमीर
edible,खाद्य
trifle,छोटी सी
delusion,माया
foundations,नींव
calcutta,कलकत्ता
cubes,क्यूब्स
colon,COLON
crotch,दुशासी कोण
tariq,तारिक
costing,की लागत
resisted,विरोध
leila,लीला
snail,घोंघा
ursula,उर्सुला
strippers,स्ट्रिपर्स
there-,वहाँ-
vista,विस्टा
sorta,सॉर्टा
